code_etab;secteur;cisco;commune;zap;fokontany;nom_etab;x;y;resultat_global;nb_ENF;nb_Ens_foncts;nb_PA_NonFonct;nb_PA_Fonct;nb_Benevoles;effectif_total_Personnels;LAPEN;MAPEN;BAC;BTS;M1;M2;INGENIEUR;DEA;DOCTORAT;Inf_Bacc;Nom_prenoms_DIR;Contact_DIR;adresse_Etab;nb_classe_petite_section;nb_classe_moyenne_section;nb_classe_grande_section;nb_classe_12em;nb_classe_11em;nb_classe_10em;nb_classe_9em;nb_classe_8em;nb_classe_7em;nb_classe_6em;nb_classe_5em;nb_classe_4em;nb_classe_3em;nb_seconde;nb_Pr_A;nb_Pr_C;nb_Pr_D;nb_Pr_L;nb_Pr_OSE;nb_Pr_S;nb_Pr_tot;nb_T_A;nb_Pr_T_C;nb_T_D;nb_T_L;nb_T_S;nb_T_OSE;nb_T_tot;taux-bacc-A1;taux-bacc-A2;taux-bacc-C;taux-bacc-D;taux-bacc-L;taux-bacc-OSE;taux-bacc-S;Montant_caisse-ecole;rapport_utilisation_caisse_ecole
111041016;Privée;ANTSIRABE II;AMBATOMENA;AMBATOMENA;MAHAZOARIVO;ECOLE PRIVEE LUTHERIENNE MAHATSINJO;47,22313946;-19,8243729;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111191009;Privée;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;SOAVINARIVO;ECOLE PRIVEE LUTHERIENNE MALAGASY SOAMANANDRARINY;47,32808071;-20,02204211;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111041019;Privée;ANTSIRABE II;AMBATOMENA;AMBATOMENA;MANARINTSOA EST;ECOLE PRIVEE LUTHERIENNE MANARINTSOA EST;47,2938488;-19,85432468;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111191010;Privée;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;SAHANIVOTRY;ECOLE PRIVEE LUTHERIENNE SAHANIVOTRY;47,26910085;-19,99508777;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111191019;Privée;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;TSARAFIERANA;ECOLE PRIVEE LUTHERIENNE TSARAFIERANA;47,24392559;-19,96916517;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111071007;Privée;ANTSIRABE II;AMBOHIMIARIVO;AMBOHIMIARIVO;AMBOHIKAMBANA;ECOLE PRIVEE MASINDA PIERRE VOHITSOA;47,19561784;-19,81038739;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111091023;Privée;ANTSIRABE II;ANDRANOMANELATRA;ANDRANOMANELATRA;ANDRANOMANELATRA;ECOLE PRIVEE MEVA;47,10295022;-19,7852599;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111120301;Privée;ANTSIRABE II;ANTSOANTANY;ANTSOATANY;ANTSAPANIMAHAZO;ECOLE PRIVEE ORANGIA III;???;???;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111091001;Privée;ANTSIRABE II;ANDRANOMANELATRA;ANDRANOMANELATRA;MORARANO EST;ECOLE PRIVEE ORION CLAIRE AMBOHIMENA;???;???;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111090501;Privée;ANTSIRABE II;ANDRANOMANELATRA;ANDRANOMANELATRA;ANTANETIBE TOAVALA;ECOLE PRIVEE SAINT AIME PIGNOLE;47,13484575;-19,75091711;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111101013;Privée;ANTSIRABE II;ANTANAMBAO;ANTANAMBAO;SOAVIMBAHOAKA;ECOLE PRIVEE SAINT ETIENNE AMBOHIKAMBANA;47,40380968;-19,94682054;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111051009;Privée;ANTSIRABE II;AMBOHIBARY;AMBOHIBARY;MANDRITSARA FIARAHAMIASA;ECOLE PRIVEE SAINT FRANCOIS D'ASSISE MANDRITSARA;47,05569332;-19,55746793;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111191011;Privée;ANTSIRABE II;TSARAHONENANA SAHANIVOTRY;TSARAHONENANA;AMBOHITSOA;ECOLE PRIVEE SAINT JOSEPH ANKAZONGOAIKA;47,26386264;-20,05027299;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111101027;Privée;ANTSIRABE II;ANTANAMBAO;ANTANAMBAO;SOANIERANA;ECOLE PRIVEE SAINT PIERRE ANTANAMBAO;47,1683137;-19,8753727;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
111101018;Privée;ANTSIRABE II;ANTANAMBAO;ANTANAMBAO;SOAVIMBAHOAKA;ECOLE PRIVEE SAINT PIERRE IVAVAVATO;47,43005634;-19,94536985;73,24%;0;0;0;0;0;0;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;???;;
